GO_ID	Gene_ID
GO:0000122	419980
GO:0000122	420362
GO:0000122	420599
GO:0000122	420839
GO:0000122	421168
GO:0000122	421361
GO:0000122	422733
GO:0000122	423328
GO:0000122	424316
GO:0000122	424356
GO:0000122	424496
GO:0000122	424673
GO:0000122	424702
GO:0000122	424756
GO:0000122	424912
GO:0000122	426314
GO:0000122	426381
GO:0000122	426493
GO:0000122	427887
GO:0000122	428612
GO:0000122	430882
GO:0000122	493647
GO:0000122	693248
GO:0000122	693250
GO:0000122	100858676
GO:0000122	107051027
GO:0000122	107055370
GO:0000123	374236
GO:0000123	395351
GO:0000123	395352
GO:0000123	396526
GO:0000123	417656
GO:0000123	417762
GO:0000123	418281
GO:0000123	418896
GO:0000123	419617
GO:0000123	424496
GO:0000123	424726
GO:0000124	418896
GO:0000124	424726
GO:0000126	395517
GO:0000126	395995
GO:0000132	374224
GO:0000132	395134
GO:0000132	416597
GO:0000132	417317
GO:0000132	419268
GO:0000132	426238
GO:0000139	373914
GO:0000139	373977
GO:0000139	373996
GO:0000139	374125
GO:0000139	374188
GO:0000139	374273
GO:0000139	378907
GO:0000139	395071
GO:0000139	395073
GO:0000139	395140
GO:0000139	395185
GO:0000139	395206
GO:0000139	395251
GO:0000139	395415
GO:0000139	395789
GO:0000139	395790
GO:0000139	395969
GO:0000139	396018
GO:0000139	396140
GO:0000139	396153
GO:0000139	396159
GO:0000139	396168
GO:0000139	396169
GO:0000139	396229
GO:0000139	396237
GO:0000139	396492
GO:0000139	396494
GO:0000139	403122
GO:0000139	416724
GO:0000139	416910
GO:0000139	417119
GO:0000139	417163
GO:0000139	418062
GO:0000139	418098
GO:0000139	418459
GO:0000139	418692
GO:0000139	418863
GO:0000139	419063
GO:0000139	419356
GO:0000139	419397
GO:0000139	419456
GO:0000139	419625
GO:0000139	419885
GO:0000139	420056
GO:0000139	420117
GO:0000139	421788
GO:0000139	422441
GO:0000139	422597
GO:0000139	423063
GO:0000139	423183
GO:0000139	423200
GO:0000139	423211
GO:0000139	424377
GO:0000139	424413
GO:0000139	424431
GO:0000139	424522
GO:0000139	424699
GO:0000139	424707
GO:0000139	425003
GO:0000139	426787
GO:0000139	429007
GO:0000139	770561
GO:0000139	770790
GO:0000145	421531
GO:0000145	421994
GO:0000146	395487
GO:0000146	396072
GO:0000146	396211
GO:0000146	396237
GO:0000146	396469
GO:0000149	395515
GO:0000149	396083
GO:0000149	396444
GO:0000149	420560
GO:0000149	422297
GO:0000149	424413
GO:0000150	396086
GO:0000151	374050
GO:0000151	416106
GO:0000151	416319
GO:0000151	416687
GO:0000151	416842
GO:0000151	417672
GO:0000151	418598
GO:0000151	419235
GO:0000151	419493
GO:0000151	420263
GO:0000151	420612
GO:0000151	421373
GO:0000151	421417
GO:0000151	422226
GO:0000151	423185
GO:0000151	424963
GO:0000151	425091
GO:0000151	426024
GO:0000151	426918
GO:0000151	426942
GO:0000151	427310
GO:0000151	427396
GO:0000151	427864
GO:0000151	493647
GO:0000152	416842
GO:0000152	419493
GO:0000152	421417
GO:0000152	493647
GO:0000154	417776
GO:0000154	419943
GO:0000154	422196
GO:0000154	431184
GO:0000159	396021
GO:0000159	423970
GO:0000164	396019
GO:0000164	423894
GO:0000165	373887
GO:0000165	373955
GO:0000165	373964
GO:0000165	373977
GO:0000165	374001
GO:0000165	374100
GO:0000165	374148
GO:0000165	374191
GO:0000165	374224
GO:0000165	378779
GO:0000165	378783
GO:0000165	386583
GO:0000165	395097
GO:0000165	395330
GO:0000165	395337
GO:0000165	395427
GO:0000165	395469
GO:0000165	395485
GO:0000165	395499
GO:0000165	395509
GO:0000165	395551
GO:0000165	395583
GO:0000165	395584
GO:0000165	395642
GO:0000165	395668
GO:0000165	395724
GO:0000165	395786
GO:0000165	395815
GO:0000165	395917
GO:0000165	395962
GO:0000165	395967
GO:0000165	395983
GO:0000165	396028
GO:0000165	396081
GO:0000165	396094
GO:0000165	396105
GO:0000165	396114
GO:0000165	396126
GO:0000165	396157
GO:0000165	396165
GO:0000165	396177
GO:0000165	396192
GO:0000165	396196
GO:0000165	396212
GO:0000165	396239
GO:0000165	396245
GO:0000165	396337
GO:0000165	396349
GO:0000165	396361
GO:0000165	396412
GO:0000165	396413
GO:0000165	396438
GO:0000165	396483
GO:0000165	396515
GO:0000165	396516
GO:0000165	402783
GO:0000165	408251
GO:0000165	414745
GO:0000165	415419
GO:0000165	415539
GO:0000165	417319
GO:0000165	417554
GO:0000165	417840
GO:0000165	418090
GO:0000165	419877
GO:0000165	419957
GO:0000165	419980
GO:0000165	420362
GO:0000165	420840
GO:0000165	421352
GO:0000165	422795
GO:0000165	424197
GO:0000165	424598
GO:0000165	425003
GO:0000165	426074
GO:0000165	427272
GO:0000165	427937
GO:0000165	428537
GO:0000165	429089
GO:0000165	497270
GO:0000165	100873157
GO:0000166	373897
GO:0000166	373922
GO:0000166	373963
GO:0000166	374002
GO:0000166	374075
GO:0000166	374084
GO:0000166	374092
GO:0000166	374093
GO:0000166	374095
GO:0000166	374100
GO:0000166	374111
GO:0000166	374123
GO:0000166	374163
GO:0000166	374193
GO:0000166	374195
GO:0000166	374197
GO:0000166	374199
GO:0000166	374213
GO:0000166	374244
GO:0000166	374260
GO:0000166	378783
GO:0000166	378891
GO:0000166	386579
GO:0000166	395080
GO:0000166	395120
GO:0000166	395133
GO:0000166	395171
GO:0000166	395172
GO:0000166	395197
GO:0000166	395208
GO:0000166	395232
GO:0000166	395246
GO:0000166	395249
GO:0000166	395263
GO:0000166	395313
GO:0000166	395315
GO:0000166	395336
GO:0000166	395339
GO:0000166	395376
GO:0000166	395397
GO:0000166	395416
GO:0000166	395417
GO:0000166	395427
GO:0000166	395434
GO:0000166	395449
GO:0000166	395481
GO:0000166	395487
GO:0000166	395497
GO:0000166	395499
GO:0000166	395509
GO:0000166	395534
GO:0000166	395559
GO:0000166	395570
GO:0000166	395653
GO:0000166	395707
GO:0000166	395719
GO:0000166	395730
GO:0000166	395758
GO:0000166	395767
GO:0000166	395797
GO:0000166	395804
GO:0000166	395807
GO:0000166	395821
GO:0000166	395823
GO:0000166	395833
GO:0000166	395834
GO:0000166	395853
GO:0000166	395869
GO:0000166	395916
GO:0000166	395917
GO:0000166	395924
GO:0000166	395966
GO:0000166	395967
GO:0000166	395983
GO:0000166	395997
GO:0000166	396002
GO:0000166	396010
GO:0000166	396025
GO:0000166	396030
GO:0000166	396072
GO:0000166	396081
GO:0000166	396084
GO:0000166	396086
GO:0000166	396143
GO:0000166	396144
GO:0000166	396146
GO:0000166	396147
GO:0000166	396153
GO:0000166	396156
GO:0000166	396157
GO:0000166	396177
GO:0000166	396179
GO:0000166	396188
GO:0000166	396192
GO:0000166	396193
GO:0000166	396199
GO:0000166	396211
GO:0000166	396229
GO:0000166	396237
GO:0000166	396238
GO:0000166	396239
GO:0000166	396245
GO:0000166	396248
GO:0000166	396252
GO:0000166	396254
GO:0000166	396259
GO:0000166	396265
GO:0000166	396269
GO:0000166	396275
GO:0000166	396294
GO:0000166	396324
GO:0000166	396325
GO:0000166	396337
GO:0000166	396349
GO:0000166	396367
GO:0000166	396368
GO:0000166	396396
GO:0000166	396399
GO:0000166	396402
GO:0000166	396416
GO:0000166	396426
GO:0000166	396427
GO:0000166	396442
GO:0000166	396445
GO:0000166	396446
GO:0000166	396456
GO:0000166	396457
GO:0000166	396458
GO:0000166	396460
GO:0000166	396467
GO:0000166	396468
GO:0000166	396469
GO:0000166	396487
GO:0000166	396489
GO:0000166	396494
GO:0000166	396504
GO:0000166	396507
GO:0000166	396508
GO:0000166	396513
GO:0000166	396515
GO:0000166	396516
GO:0000166	396526
GO:0000166	396528
GO:0000166	396530
GO:0000166	396534
GO:0000166	396542
GO:0000166	402783
GO:0000166	408032
GO:0000166	408182
GO:0000166	414879
GO:0000166	415296
GO:0000166	415328
GO:0000166	415332
GO:0000166	415419
GO:0000166	415544
GO:0000166	415577
GO:0000166	415626
GO:0000166	415906
GO:0000166	416168
GO:0000166	416183
GO:0000166	416204
GO:0000166	416402
GO:0000166	416694
GO:0000166	416704
GO:0000166	416777
GO:0000166	416811
GO:0000166	416820
GO:0000166	417119
GO:0000166	417185
GO:0000166	417226
GO:0000166	417255
GO:0000166	417306
GO:0000166	417410
GO:0000166	417438
GO:0000166	417541
GO:0000166	417555
GO:0000166	417642
GO:0000166	417840
GO:0000166	418166
GO:0000166	418308
GO:0000166	418329
GO:0000166	418486
GO:0000166	418597
GO:0000166	418620
GO:0000166	418639
GO:0000166	418675
GO:0000166	418764
GO:0000166	418802
GO:0000166	418965
